Event Category,City,Total Events
Share it if you like it,New York,41
"Yes, I have heard of fake news",Spokane,41
"Yes, I'm good at spotting fake news",Plattsburgh,41
Call them out,Austin,40
Ignore it,Kansas City,40
"No, I'm bad at spotting fake news",Austin,40
"No, I'm bad at spotting fake news",San Antonio,40
"Yes, I have heard of fake news",Grand Rapids,40
"Yes, I have heard of fake news",Springfield,40
"Yes, I have heard of fake news",Ashburn,40
"Yes, I'm good at spotting fake news",Boise,40
Call them out,St. Louis,39
"No, I don't I could tell if an article was telling the truth",Atlanta,39
"No, I have not heard of fake news",Minneapolis,39
"No, I'm bad at spotting fake news",Madison,39
"Yes, I believe most news articles are true",Dallas,39
Ignore it,Louisville,38
"No, I'm bad at spotting fake news",Salt Lake City,38
"Yes, I believe most news articles are true",Atlanta,38
"Yes, I have heard of fake news",Rochester,38
"Yes, I have heard of fake news",Erie,38
"Yes, I have heard of fake news",Sioux Falls,38
"Yes, I have heard of fake news",Knoxville,38
Call them out,Indianapolis,37
Ignore it,Jacksonville,37
Ignore it,Plattsburgh,37
"No, I believe most news articles are false",Denver,37
"No, I have not heard of fake news",Ann Arbor,37
"Yes, I have heard of fake news",Sacramento,37
"Yes, I have heard of fake news",Altoona,37
"Yes, I'm good at spotting fake news",Memphis,37
Call them out,Boston,36
Ignore it,Memphis,36
"No, I have not heard of fake news",Salt Lake City,36
"Yes, I have heard of fake news",Miami,36
Call them out,Charlotte,35
"No, I believe most news articles are false",Houston,35
"No, I don't I could tell if an article was telling the truth",Los Angeles,35
"No, I'm bad at spotting fake news",Pittsburgh,35
"Yes, I have heard of fake news",Tucson,35
"Yes, I have heard of fake news",Bozeman,35
"Yes, I have heard of fake news",Buffalo,35
"Yes, I have heard of fake news",El Paso,35
"Yes, I have heard of fake news",Windber,35
"No, I have not heard of fake news",Portland,34
"No, I have not heard of fake news",Nashville,34
"No, I'm bad at spotting fake news",Greenville,34
"No, I'm bad at spotting fake news",Columbus,34
"Yes, I have heard of fake news",Tampa,34
"Yes, I have heard of fake news",Vancouver,34
"Yes, I have heard of fake news",Charleston,34
"No, I have not heard of fake news",St. Louis,33
"No, I have not heard of fake news",Cincinnati,33
"No, I'm bad at spotting fake news",Charlotte,33
Share it if you like it,Atlanta,33
"Yes, I have heard of fake news",Birmingham,33
"Yes, I have heard of fake news",Sioux City,33
"Yes, I have heard of fake news",Johnstown,33
Ignore it,Wichita,32
"No, I believe most news articles are false",Phoenix,32
"No, I'm bad at spotting fake news",San Diego,32
Share it if you like it,Houston,32
"Yes, I have heard of fake news",Santa Maria,32
"Yes, I have heard of fake news",Rochester,32
"Yes, I have heard of fake news",Wilmington,32
"Yes, I'm good at spotting fake news",Wichita,32
"Yes, I'm good at spotting fake news",Raleigh,32
"Yes, think I could tell if an article was telling the truth",Houston,32
Ignore it,Boise,31
"No, I believe most news articles are false",San Francisco,31
"Yes, I have heard of fake news",Des Moines,31
"Yes, I have heard of fake news",Hattiesburg,31
"Yes, I have heard of fake news",Jamestown,31
"Yes, I'm good at spotting fake news",Oklahoma City,31
"Yes, I'm good at spotting fake news",Eugene,31
"Yes, think I could tell if an article was telling the truth",Washington,31
Call them out,Colorado Springs,30
Call them out,Pittsburgh,30
Ignore it,San Jose,30
"Yes, I have heard of fake news",Billings,30
"Yes, I have heard of fake news",Mount Laurel,30
"Yes, I have heard of fake news",Pearland,30
"Yes, I have heard of fake news",Tacoma,30
"Yes, I have heard of fake news",La Crosse,30
"Yes, I'm good at spotting fake news",Albany,30
"Yes, I'm good at spotting fake news",Virginia Beach,30
"Yes, I'm good at spotting fake news",Spokane,30
Ignore it,Grand Rapids,29
"No, I believe most news articles are false",Omaha,29
"No, I don't I could tell if an article was telling the truth",San Francisco,29
"No, I have not heard of fake news",Boston,29
"No, I'm bad at spotting fake news",Anchorage,29
"No, I'm bad at spotting fake news",Cincinnati,29
"Yes, I have heard of fake news",West Des Moines,29
"Yes, I'm good at spotting fake news",San Jose,29
"Yes, I'm good at spotting fake news",New Orleans,29
"Yes, I'm good at spotting fake news",Reno,29
"Yes, I'm good at spotting fake news",Sioux Falls,29
Call them out,Jacksonville,28
Call them out,Salt Lake City,28
Ignore it,Missoula,28
Ignore it,Eugene,28
Ignore it,Spokane,28
"No, I don't I could tell if an article was telling the truth",Washington,28
"No, I have not heard of fake news",Austin,28
"Yes, I have heard of fake news",Aurora,28
"Yes, I have heard of fake news",Elkhart,28
"Yes, I have heard of fake news",London,28
"Yes, I have heard of fake news",Springfield,28
"Yes, I have heard of fake news",Las Vegas,28
"Yes, I have heard of fake news",Syracuse,28
"Yes, I have heard of fake news",Utica,28
"Yes, I have heard of fake news",Knik-Fairview,28
"Yes, I'm good at spotting fake news",Miami,28
"Yes, I'm good at spotting fake news",Charlottesville,28
Call them out,Orlando,27
Ignore it,Milwaukee,27
"No, I believe most news articles are false",Seattle,27
"No, I don't I could tell if an article was telling the truth",Denver,27
"No, I have not heard of fake news",Albuquerque,27
"Yes, I have heard of fake news",Elizabethtown,27
"Yes, I have heard of fake news",Midland,27
"Yes, I have heard of fake news",Duluth,27
